id,franchise_id,space_min_sqft,space_max_sqft,required_property_type,staff_required_min,staff_required_max,staff_breakdown,operating_hours,training_provided,training_details,computer_requirements,marketing_support,preferred_locations,qualification_required,supply_chain_support,quality_control,created_by,updated_by,created_at,updated_at
468bd34b-70b3-4d62-b721-d32b3315a323,7d07fbd9-d1a5-4820-8ff8-c1120ea6ff06,315,500,NULL,3,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 9:19,2024-01-15 19:33:01.00
7105c4e9-21bf-4b3a-b54d-8ac29b92bce6,0b66ede6-6a9d-4dc1-a71e-d4ac5db22f6f,250,400,NULL,2,3,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 11:45,2024-01-15 21:35:02.00
815ca2a0-92b6-4154-8494-6644ecc3bd53,606a879b-da69-4f28-bb62-7d6928c5bfda,1000,1200,NULL,3,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 17:02,2024-01-15 02:41:02.00
29b5af68-e9a7-40cc-b046-caeb8c32e3f8,51de79ee-7094-4b9e-8fd8-36c14770b17d,1000,2500,NULL,6,9,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 17:53,2024-01-15 05:41:00.00
94fb7adb-3c97-4214-88c5-49d2959eb54d,1fac6fce-3ca3-41c6-a470-541370486496,500,1000,NULL,3,4,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 19:48:10,2024-01-15 00:43:07.00
d34a0723-4c7b-452c-b623-b013f60c7aca,7ead3192-9970-4ca4-9492-1e653cba5c40,1500,2500,NULL,3,4,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 20:54,2024-01-15 06:44:02.00
c0bf2f13-93b6-4188-b9ca-0ccc31ae4223,b369aafb-788d-48c2-a292-1227e246c5e2,1000,2000,NULL,6,8,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-16 22:20,2024-01-15 20:46:05.00
450fba06-63e9-4d42-b22b-81fc02674e66,4aafb50c-8cb6-4610-9232-89902077d0a3,100,150,NULL,1,3,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 23:54:30,2024-01-15 06:47:09.00
f2377927-4f69-4e64-9a33-bccc1958da42,30a2d954-c1e6-4ca8-8b82-c27241094307,,,NULL,1,1,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 01:10:00,2024-01-15 10:49:06.00
500aa618-8283-4c0d-8edf-5c3f5559d99b,490c8da9-056b-42c8-953b-790ae0d96980,500,1200,NULL,4,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-17 2:00,2024-01-15 00:50:02.00
ddfcc5cd-b76e-4a36-9e80-37c48c3a35d6,e75e0dd4-68dc-4253-ba10-c66dbc68af66,800,1000,NULL,4,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 08:24:20,2024-01-15 00:56:08.00
9efc2b0d-0fc3-4949-8608-0d65d0373410,3ab4cfd1-65bf-4466-b000-fa986136cf8a,500,1000,NULL,3,5,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-01-15 10:31:10,2024-01-15 07:58:07.00
91264cfb-d02b-4b65-9fe3-e4d5f924a81e,52e386d0-16ce-48fa-91c9-75e6dc633959,500,700,NULL,4,6,[],,TRUE,,,,,,FALSE,FALSE,00000000-0000-0000-0000-000000000001,,2024-1-17 11:32,2024-01-15 08:59:05.00
