id,franchise_id,instagram_url,facebook_url,twitter_url,linkedin_url,created_at,updated_at
a7a3d0dd-a03f-4e67-9dc6-e910226535e1,9ab139e7-cf16-4085-9352-c51d74e61115,https://www.instagram.com/dazzlesportswear/,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
ab5918dd-312c-4bf1-a7aa-d0120edadd85,ac303bf7-2a32-471d-9be1-a1dbb2e915e7,https://www.instagram.com/adidas,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
2d960581-8cb5-434d-90aa-cd92ef6a7ef6,df361e73-da0e-4e50-992d-e95e57306357,https://www.justdial.com/Bangalore/Maverick-Turf-Corporation,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
3e0f4f74-c272-4704-81e3-54f9dcd2ae8b,c8bbd1a5-9676-4a19-b8c4-1b2f22fe8148,https://in.linkedin.com/company/cricket-academy-of-pathans-cap,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
18fdd61b-bbfc-41ab-8d8c-973512fc302a,88848236-153f-41d1-85cd-4a9001af249c,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
f8b159ba-87d1-4b14-bab9-40f8614f1d96,d96ac4e8-daa4-4d60-9a4d-f7dcb54412b7,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
bd334845-b4d1-4d82-a712-656effd83f2b,d451263c-43df-4ba1-b652-cbac27ff7846,https://www.instagram.com/nitsaholidays,https://www.facebook.com/FranchiseIndiaMedia/posts,,,2026-01-10 12:02:56,2026-01-10 12:02:56
df330648-877d-4128-8de7-7319011d975e,a3d5f27f-978c-48e7-97cf-21e8aea6d359,https://www.instagram.com/easemytrip,https://www.facebook.com/EaseMyTrip/posts,,,2026-01-10 12:02:56,2026-01-10 12:02:56
a441c87a-798e-472e-bfed-5c8158361e2f,780dabc4-787e-4001-9c4b-a07c9874ffab,https://www.instagram.com/makemytrip,https://www.facebook.com/MakeMyTrip,https://twitter.com/MakeMyTrip,,2026-01-10 12:02:56,2026-01-10 12:02:56
6a049d79-d0e3-4b51-b400-a6b992f92c28,499ed48e-a3e7-480e-900b-f384cd1ec21f,https://www.instagram.com/cloud9trip.in,https://www.facebook.com/cloud9trip,,,2026-01-10 12:02:56,2026-01-10 12:02:56
d05581e3-d4f8-4177-a2c3-4640152f75ff,fc554f5b-c10b-4835-b81b-6eb90deb8862,https://www.instagram.com/thomascookindia,https://www.facebook.com/thomascookindia,https://twitter.com/thomascookindia,https://www.linkedin.com/company/thomascookindia,2026-01-10 12:02:56,2026-01-10 12:02:56
