"id","franchise_id","rating","rating_count","follow_count","likes_count","view_count","save_count","share_count","enquiry_count","news_count","created_at","updated_at"
"b47e4ecb-8720-4ada-863b-c9b249e44dbb","3d7a177b-20bf-4b7d-a8a1-7c3514daa4a5",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"6da596fc-50c9-420e-b9e1-daab020b3d6c","2155ba74-85c2-4123-9485-75b3c9e07def",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"619d385f-ea33-4d53-9275-5e8b47549fd9","a61d62b8-582d-4179-9603-789f0ee2bece",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"6d312bd0-1916-439c-b9bc-f38596ca9a27","7cbee3c6-e9d5-40f1-9be2-ac2fe5053add",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"bc506e1d-21af-4222-a723-7367e3a1df36","ca257ac6-7d5b-4292-a6e1-9d71b5c73ada",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"25505610-d703-4799-b223-fd428d6a53b6","80126705-23b0-47c5-bf0b-bcce2bb4b417",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"3d1a638d-42fe-4240-ab64-3cced1d9c77c","ae70ee5e-ea25-47b0-9b80-aba3400b5cd3",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"bdf7629d-2dbd-41fd-8f83-e53f0972585c","f648ef1c-c7c1-4d7f-b04a-91bf04a6718d",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"4d755fea-11b5-4d93-93bb-f30c2fef9a06","319210e7-b5f8-45c0-a3d0-9e384b46c5ca",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"4609db25-dc9a-4f26-9e89-05ef1ea0f2e1","58b4e1a8-1418-4da0-a57e-23d285891faf",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"42418c9f-df24-492a-98e8-2ef41ac0d844","b9e6ee77-95a5-4782-819e-2e9f0e39a9db",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"e70f44e4-9444-49fd-9f31-bbea42df57ab","7484b19e-814d-4ca1-bfab-c1050e50b712",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"056a380b-2176-44e2-b04f-10fd5b11b3d5","e0d7a709-6146-4915-83d7-1906b24f9ce6",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
"1efdfd4c-3997-4474-9d01-fe1a5709862e","605dc402-64b7-4ba9-9069-e705f4746b7c",,"0","0","0","0","0","0","0","0","2026-01-10 12:02:52","2026-01-10 12:02:52"
